"id","name","latitude","longitude","address","created_at","updated_at"
"1","AleSmith Brewing Company","32.892659","-117.14474"," 9368 Cabot Drive, San Diego","2014-10-27 01:08:51.638764","2014-10-27 01:08:51.638764"
"2","The Lost Abbey","33.141091","-117.149266"," 155 Mata Way #104, San Marcos","2014-10-27 01:16:25.289705","2014-10-27 01:16:25.289705"
"3","Alpine Beer Company","32.835533","-116.762912"," 2351 Alpine Blvd., Alpine","2014-10-27 01:16:29.929930","2014-10-27 01:16:29.929930"
"4","Societe Brewing Co.","32.834125","-117.146407"," 8262 Clairemont Mesa Blvd, San Diego","2014-10-27 01:16:33.510104","2014-10-27 01:16:33.510104"
"5","Modern Times Beer","32.754445","-117.206226"," 3725 Greenwood St, San Diego","2014-10-27 01:16:36.799262","2014-10-27 01:16:36.799262"
"6","Port Brewing","33.140857","-117.149277"," 155 Mata Way #104, San Marcos","2014-10-27 01:16:39.706397","2014-10-27 01:16:39.706397"
"7","Toolbox Brewing Company","33.137036","-117.226901"," 1495 Poinsettia Ave, Vista","2014-10-27 01:16:42.954551","2014-10-27 01:16:42.954551"
"8","Barrel Harbor Brewing","33.148859","-117.220661"," 2575 Pioneer Ave, Vista","2014-10-27 01:16:46.772733","2014-10-27 01:16:46.772733"
"9","Council Brewing Company","32.83479","-117.154514"," 7705 Convoy Ct, San Diego","2014-10-27 01:16:50.195895","2014-10-27 01:16:50.195895"
"10","Stone Brewing Co.","33.116218","-117.119899"," 1999 Citracado Parkway, Escondido","2014-10-27 01:16:54.117086","2014-10-27 01:16:54.117086"
"11","Bagby Beer Company","33.189492","-117.374309"," 601 S Coast Hwy, Oceanside","2014-10-27 01:17:02.616484","2014-10-27 01:17:02.616484"
"12","Green Flash Brewing Co.","32.907294","-117.177827"," 6550 Mira Mesa Blvd., San Diego","2014-10-27 01:17:08.291781","2014-10-27 01:17:08.291781"
"13","Ballast Point Brewing Company","32.898823","-117.110926"," 10051 Old Grove Road Suite B, San Diego","2014-10-27 01:17:11.957953","2014-10-27 01:17:11.957953"
"14","Pizza Port Solana Beach","32.993132","-117.272257"," 135 North Highway 101, Solana Beach","2014-10-27 01:17:14.941099","2014-10-27 01:17:14.941099"
"15","Pizza Port Carlsbad","33.159818","-117.347847"," 571 Carlsbad Village Dr., Carlsbad","2014-10-27 01:17:17.853238","2014-10-27 01:17:17.853238"
"16","Pizza Port Ocean Beach","32.748024","-117.250296"," 1956 Bacon St., San Diego","2014-10-27 01:17:21.652418","2014-10-27 01:17:21.652418"
"17","Pizza Port Bressi Ranch","33.128427","-117.250021"," 2730 Gateway Rd, Carlsbad","2014-10-27 01:17:24.423549","2014-10-27 01:17:24.423549"
"18","Intergalactic Brewing Co.","32.898896","-117.120662"," 9835 Carroll Centre Rd, San Diego","2014-10-27 01:17:27.564690","2014-10-27 01:27:59.455072"
"19","Monkey Paw Pub & Brewery","32.714106","-117.149329"," 805 16th St, San Diego","2014-10-27 01:17:30.596836","2014-10-27 01:28:09.141599"
"20","Benchmark Brewing","32.787531","-117.10211"," 6190 Fairmount Ave, San Diego","2014-10-27 01:17:33.412966","2014-10-27 01:28:18.273101"
"21","Rip Current Brewing","33.143005","-117.192572"," 1325 Grand Ave Ste 100, San Marcos","2014-10-27 01:19:58.877650","2014-10-27 01:19:58.877650"
"22","Belching Beaver Brewery","33.145236","-117.228766"," 980 Park Center Dr Ste A, Vista","2014-10-27 01:20:09.302143","2014-10-27 01:20:09.302143"
"23","Latitude 33 Brewing Company","33.136473","-117.224528"," 1430 Vantage Court, Suite 104, Vista","2014-10-27 01:20:12.536301","2014-10-27 01:20:12.536301"
"24","Mike Hess Brewing ","32.7554","-117.128891"," 7955 Silverton Ave, San Diego","2014-10-27 01:20:15.041422","2014-10-27 01:20:15.041422"
